Crop_Type,Soil_Type,Soil_pH,Temperature,Humidity,Wind_Speed,N,P,K,Soil_Quality,Year,Month,Day,Temperature_orig,Humidity_orig,Wind_Speed_orig,Soil_Quality_orig
Rice,Peaty,5.5,30,70,6,71.5,54.0,38.5,27,2016,7,1,29.845813119647204,70.1541868803528,5.813530774161971,27.33333333333333
Tomato,Peaty,5.5,31,69,12,55.0,40.5,35.0,22,2019,6,9,31.210051262374314,68.78994873762568,11.79364098926212,21.75
Wheat,Saline,8.0,17,80,9,71.5,55.0,40.5,14,2023,9,28,17.096386873629292,80.0,9.125576922938896,13.916666666666666
Potato,Clay,6.25,23,77,8,66.0,50.0,36.0,44,2023,9,23,23.211856629458868,76.78814337054114,7.723362228962564,44.33333333333333
Cotton,Saline,8.0,18,80,8,71.5,60.50000000000001,54.0,16,2015,10,16,17.536943909471354,80.0,8.310085187027008,15.5
Tomato,Loamy,6.5,36,64,10,70.0,54.0,50.0,58,2018,7,31,35.58658129395088,64.41341870604913,10.49670424770176,58.0
Soybean,Sandy,6.75,16,80,11,45.0,40.0,33.0,34,2022,1,17,16.0551149782228,80.0,10.616858207666043,34.41666666666667
Rice,Clay,6.25,35,65,16,78.0,60.0,44.0,53,2020,6,12,35.17162553171975,64.82837446828026,16.03294889154361,53.08333333333333
Rice,Peaty,5.5,43,57,12,71.5,54.0,38.5,27,2020,7,18,42.88517526933009,57.11482473066991,11.78854769311132,27.33333333333333
Rice,Clay,6.25,26,74,10,78.0,60.0,44.0,53,2021,4,1,26.092493753712148,73.90750624628785,10.317257514200918,53.08333333333333
Sugarcane,Sandy,6.75,7,80,9,65.0,48.0,36.0,43,2018,2,7,6.737314056611739,80.0,9.131687813553484,43.45833333333333
Corn,Sandy,6.75,40,60,9,60.0,44.0,30.0,39,2017,8,21,39.771350930000544,60.228649069999456,8.629443548497363,39.08333333333333
Potato,Loamy,6.5,26,74,5,77.0,60.0,45.0,61,2022,3,28,26.21455104104833,73.78544895895166,5.490950988249758,60.66666666666666
Sunflower,Peaty,5.5,15,80,5,55.0,49.50000000000001,38.5,24,2020,11,23,14.532462826198485,80.0,5.490943870822521,23.83333333333333
Cotton,Clay,6.25,20,80,11,66.0,55.00000000000001,48.0,49,2023,11,15,19.995708720663124,80.0,11.069858595615829,49.29166666666667
Potato,Sandy,6.75,22,78,10,55.00000000000001,40.0,27.0,36,2017,5,3,22.09888600546225,77.90111399453775,10.070465377279543,35.58333333333333
Tomato,Clay,6.25,26,74,13,60.0,45.0,40.0,42,2020,9,28,25.85257202675416,74.14742797324584,12.770811031604634,42.29166666666667
Corn,Sandy,6.75,4,80,12,60.0,44.0,30.0,39,2017,1,9,4.20983091661666,80.0,12.335223364745968,39.08333333333333
Wheat,Loamy,6.5,10,80,11,77.0,60.0,45.0,61,2014,12,6,10.25876686667458,80.0,10.790102285508134,60.66666666666666
Tomato,Peaty,5.5,14,80,7,55.0,40.5,35.0,22,2020,12,31,14.484102774277048,80.0,7.300823662955809,21.75
Sugarcane,Loamy,6.5,32,68,9,91.0,72.0,60.0,74,2018,6,18,32.006559759347915,67.99344024065209,9.23493010107945,74.33333333333333
Potato,Saline,8.0,38,62,11,71.5,55.0,40.5,14,2018,8,14,37.666308561494375,62.333691438505625,10.595815563084455,13.916666666666666
Tomato,Sandy,6.75,6,80,14,50.0,36.0,30.0,34,2020,1,22,6.273647173772064,80.0,13.823158100026433,33.83333333333333
Tomato,Sandy,6.75,9,80,10,50.0,36.0,30.0,34,2020,12,2,9.445502994802863,80.0,10.17783423665324,33.83333333333333
Sugarcane,Clay,6.25,30,70,6,78.0,60.0,48.0,54,2015,7,11,30.112321532512595,69.8876784674874,6.377632955689586,54.25
Soybean,Clay,6.25,17,80,10,54.0,50.0,44.0,43,2019,12,21,16.926415164457985,80.0,9.81297554278783,43.16666666666667
Rice,Sandy,6.75,18,80,10,65.0,48.0,33.0,43,2016,3,5,18.46533010120925,80.0,9.515814016108608,42.58333333333333
Soybean,Saline,8.0,10,80,13,58.5,55.0,49.50000000000001,14,2015,2,14,9.54125285387832,80.0,12.598961094471289,13.583333333333334
Barley,Loamy,6.5,32,68,15,70.0,60.0,50.0,60,2014,6,24,32.11869035485864,67.88130964514136,15.494665201825082,60.0
Wheat,Peaty,5.5,25,75,14,60.50000000000001,45.0,31.5,23,2018,3,26,25.424258174360315,74.57574182563968,14.042144229443837,22.83333333333333
Cotton,Clay,6.25,36,64,14,66.0,55.00000000000001,48.0,49,2019,3,17,35.55938296586648,64.44061703413352,14.263282645143612,49.29166666666667
Wheat,Saline,8.0,25,75,9,71.5,55.0,40.5,14,2020,9,30,24.91187707039504,75.08812292960496,9.16077025326384,13.916666666666666
Sugarcane,Clay,6.25,39,61,8,78.0,60.0,48.0,54,2015,7,14,38.56191672433228,61.43808327566772,7.637015224568779,54.25
Sunflower,Saline,8.0,18,80,13,65.0,60.50000000000001,49.50000000000001,15,2019,1,12,17.847682184521293,80.0,12.72578637107158,14.583333333333334
Soybean,Saline,8.0,17,80,6,58.5,55.0,49.50000000000001,14,2017,10,6,17.454722093635965,80.0,6.3705338699272485,13.583333333333334
Potato,Saline,8.0,26,74,13,71.5,55.0,40.5,14,2014,6,21,25.982981328863698,74.0170186711363,13.27936892764587,13.916666666666666
Wheat,Sandy,6.75,24,76,8,55.00000000000001,40.0,27.0,36,2019,10,13,24.3226606079454,75.67733939205459,8.353943189711057,35.58333333333333
Soybean,Peaty,5.5,19,80,13,49.5,45.0,38.5,22,2023,11,2,18.79166208333682,80.0,12.947707306230743,22.166666666666668
Soybean,Clay,6.25,16,80,9,54.0,50.0,44.0,43,2015,11,4,16.129375155242393,80.0,8.550357728251456,43.16666666666667
Soybean,Saline,8.0,36,64,11,58.5,55.0,49.50000000000001,14,2016,6,22,35.97597657055377,64.02402342944623,10.846563731502732,13.583333333333334
Sunflower,Sandy,6.75,27,73,6,50.0,44.0,33.0,37,2020,4,7,26.750455692332867,73.24954430766714,6.282734935519422,37.04166666666667
Wheat,Loamy,6.5,34,66,13,77.0,60.0,45.0,61,2022,11,8,33.91182952173796,66.08817047826204,12.514965741614812,60.66666666666666
Corn,Clay,6.25,13,80,7,72.0,55.00000000000001,40.0,49,2021,1,17,13.344525515245095,80.0,7.372600787160127,48.70833333333333
Barley,Clay,6.25,14,80,10,60.0,50.0,40.0,44,2022,11,4,13.860943788469848,80.0,9.894342674677969,43.75
Barley,Loamy,6.5,34,66,10,70.0,60.0,50.0,60,2020,8,5,34.21399061193259,65.78600938806741,9.65076183226857,60.0
Rice,Sandy,6.75,19,80,10,65.0,48.0,33.0,43,2019,3,5,19.34996683458785,80.0,9.703708420324649,42.58333333333333
Tomato,Saline,8.0,9,80,6,65.0,49.5,45.0,13,2018,12,1,9.329633618389089,80.0,6.478278463539609,13.291666666666666
Rice,Clay,6.25,12,80,12,78.0,60.0,44.0,53,2023,12,28,11.876830408386644,80.0,11.781339216405913,53.08333333333333
Corn,Clay,6.25,23,77,12,72.0,55.00000000000001,40.0,49,2022,3,23,22.839462107977347,77.16053789202266,11.863881468773677,48.70833333333333
Corn,Sandy,6.75,20,80,8,60.0,44.0,30.0,39,2021,9,4,19.84657264140277,80.0,7.78349451052177,39.08333333333333
Cotton,Saline,8.0,18,80,12,71.5,60.50000000000001,54.0,16,2021,10,10,17.794823354120634,80.0,12.385001432590805,15.5
Tomato,Peaty,5.5,32,68,7,55.0,40.5,35.0,22,2019,7,22,31.60141476213135,68.39858523786864,7.400894649203296,21.75
Rice,Sandy,6.75,20,80,16,65.0,48.0,33.0,43,2021,3,8,19.615180546110537,80.0,15.57231158951733,42.58333333333333
Tomato,Loamy,6.5,16,80,4,70.0,54.0,50.0,58,2016,2,20,16.120853830839557,80.0,4.078446249119425,58.0
Wheat,Loamy,6.5,12,80,9,77.0,60.0,45.0,61,2019,1,18,12.316494149992913,80.0,9.416080031476945,60.66666666666666
Corn,Loamy,6.5,26,74,9,84.0,66.0,50.0,67,2017,4,5,25.696343330259936,74.30365666974006,8.907563914529419,66.66666666666667
Corn,Clay,6.25,25,75,7,72.0,55.00000000000001,40.0,49,2022,5,1,25.13388373349474,74.86611626650526,7.109317414916798,48.70833333333333
Sugarcane,Loamy,6.5,5,80,6,91.0,72.0,60.0,74,2014,10,28,5.133469143537212,80.0,6.203090664730567,74.33333333333333
Corn,Loamy,6.5,32,68,13,84.0,66.0,50.0,67,2021,7,16,31.871570174037185,68.12842982596281,12.6732235102385,66.66666666666667
Tomato,Peaty,5.5,23,77,10,55.0,40.5,35.0,22,2019,3,30,22.881695620380103,77.1183043796199,9.628355193064468,21.75
Corn,Peaty,5.5,10,80,11,66.0,49.50000000000001,35.0,25,2020,1,6,10.1252824274482,80.0,10.724254288948512,25.08333333333333
Tomato,Saline,8.0,14,80,13,65.0,49.5,45.0,13,2014,3,11,14.21699651683606,80.0,12.765404505931755,13.291666666666666
Corn,Sandy,6.75,29,71,9,60.0,44.0,30.0,39,2023,12,2,28.71119912391121,71.28880087608879,8.871297276080321,39.08333333333333
Wheat,Sandy,6.75,7,80,8,55.00000000000001,40.0,27.0,36,2021,1,29,6.86209453708512,80.0,7.520496009787205,35.58333333333333
Tomato,Clay,6.25,17,80,9,60.0,45.0,40.0,42,2015,2,7,16.60038781088535,80.0,9.25068216387885,42.29166666666667
Rice,Sandy,6.75,25,75,6,65.0,48.0,33.0,43,2017,4,25,25.018603476529822,74.98139652347018,6.033299888338978,42.58333333333333
Potato,Peaty,5.5,8,80,7,60.50000000000001,45.0,31.5,23,2020,1,5,8.471550082082768,80.0,7.180210359848417,22.83333333333333
Potato,Saline,8.0,25,75,13,71.5,55.0,40.5,14,2021,11,1,24.77507887450938,75.22492112549062,12.575359479142628,13.916666666666666
Barley,Peaty,5.5,15,80,12,55.0,45.0,35.0,22,2016,2,29,14.50143641302098,80.0,12.00768168942915,22.5
Barley,Saline,8.0,35,65,8,65.0,55.0,45.0,14,2018,6,6,34.66289624214755,65.33710375785245,8.25730828761948,13.75
Barley,Saline,8.0,17,80,13,65.0,55.0,45.0,14,2022,5,30,16.565383301957635,80.0,12.524370309229116,13.75
Barley,Peaty,5.5,39,61,8,55.0,45.0,35.0,22,2016,7,31,38.60219502228604,61.39780497771396,8.441739477731426,22.5
Potato,Peaty,5.5,30,70,8,60.50000000000001,45.0,31.5,23,2019,9,21,30.21454553356609,69.78545446643392,8.225076707108464,22.83333333333333
Sugarcane,Saline,8.0,19,80,10,84.5,66.0,54.0,17,2015,11,27,18.978832569675696,80.0,9.71532608592673,17.041666666666668
Sugarcane,Clay,6.25,19,80,7,78.0,60.0,48.0,54,2018,11,8,19.007062723690503,80.0,7.339854549703475,54.25
Barley,Peaty,5.5,42,58,13,55.0,45.0,35.0,22,2014,6,5,41.59308963109737,58.40691036890263,13.004686839290164,22.5
Sugarcane,Sandy,6.75,41,59,13,65.0,48.0,36.0,43,2014,8,26,40.98052317753958,59.01947682246042,12.515646778940871,43.45833333333333
Rice,Saline,8.0,26,74,16,84.5,66.0,49.50000000000001,17,2014,9,30,25.541192805499563,74.45880719450044,15.5246484291861,16.666666666666668
Potato,Loamy,6.5,25,75,7,77.0,60.0,45.0,61,2017,1,12,24.71426239112957,75.28573760887043,6.520560733718908,60.66666666666666
Sunflower,Clay,6.25,42,58,11,60.0,55.00000000000001,44.0,46,2019,6,9,41.91436680910985,58.08563319089015,11.201171256374591,46.375
Sugarcane,Saline,8.0,43,57,12,84.5,66.0,54.0,17,2019,8,9,43.43923667289827,56.56076332710173,12.403843573083462,17.041666666666668
Sunflower,Loamy,6.5,16,80,13,70.0,66.0,55.00000000000001,64,2015,4,7,15.713405247401145,80.0,13.17969297560318,63.66666666666666
Sunflower,Clay,6.25,22,78,10,60.0,55.00000000000001,44.0,46,2021,11,20,21.770668323648174,78.22933167635182,10.27637509365267,46.375
Wheat,Saline,8.0,28,72,5,71.5,55.0,40.5,14,2022,6,20,27.58087857363235,72.41912142636765,4.541094905789655,13.916666666666666
Sugarcane,Loamy,6.5,4,80,12,91.0,72.0,60.0,74,2015,2,2,3.7151730776165177,80.0,11.912740413345436,74.33333333333333
Corn,Sandy,6.75,24,76,5,60.0,44.0,30.0,39,2018,4,18,24.17543495689837,75.82456504310163,5.196643516123727,39.08333333333333
Sunflower,Loamy,6.5,11,80,13,70.0,66.0,55.00000000000001,64,2015,1,11,11.245498170220907,80.0,12.795190152912546,63.66666666666666
Barley,Sandy,6.75,31,69,9,50.0,40.0,30.0,35,2022,6,8,31.164468605885336,68.83553139411467,9.48301940748276,35.0
Corn,Peaty,5.5,17,80,5,66.0,49.50000000000001,35.0,25,2023,2,25,16.780618451393508,80.0,4.701408618986298,25.08333333333333
Tomato,Saline,8.0,27,73,9,65.0,49.5,45.0,13,2015,5,23,26.89407407115427,73.10592592884572,8.796469283696359,13.291666666666666
Rice,Sandy,6.75,39,61,16,65.0,48.0,33.0,43,2021,8,1,38.93518382577207,61.06481617422793,16.086402781633552,42.58333333333333
Cotton,Sandy,6.75,24,76,10,55.00000000000001,44.0,36.0,39,2019,7,6,23.862029454024608,76.13797054597539,10.018386059434835,39.375
Tomato,Clay,6.25,23,77,7,60.0,45.0,40.0,42,2014,4,28,23.2424409905036,76.7575590094964,7.046035645458213,42.29166666666667
Sunflower,Sandy,6.75,36,64,6,50.0,44.0,33.0,37,2019,8,31,36.13548238416554,63.86451761583446,6.263013592541035,37.04166666666667
Potato,Peaty,5.5,32,68,7,60.50000000000001,45.0,31.5,23,2016,8,12,32.32725742452038,67.67274257547962,6.972983024424535,22.83333333333333
Wheat,Peaty,5.5,9,80,13,60.50000000000001,45.0,31.5,23,2022,1,22,9.230860068567692,80.0,12.898646149297967,22.83333333333333
Sugarcane,Peaty,5.5,19,80,14,71.5,54.0,42.0,28,2018,9,22,19.42297703917413,80.0,13.960845119277732,27.916666666666668
Tomato,Loamy,6.5,18,80,10,70.0,54.0,50.0,58,2020,9,18,18.182459947197355,80.0,9.87278352897591,58.0
Rice,Saline,8.0,29,71,18,84.5,66.0,49.50000000000001,17,2015,4,26,28.78043940347503,71.21956059652497,17.76181436753593,16.666666666666668
Corn,Saline,8.0,39,61,7,78.0,60.50000000000001,45.0,15,2015,7,22,39.28354157507265,60.71645842492735,7.234423960217265,15.291666666666666
Rice,Sandy,6.75,23,77,9,65.0,48.0,33.0,43,2017,4,30,22.61103427599245,77.38896572400755,9.054100797037515,42.58333333333333
Sunflower,Clay,6.25,41,59,13,60.0,55.00000000000001,44.0,46,2022,8,5,40.682337748580665,59.317662251419335,13.057849960812902,46.375
Rice,Peaty,5.5,18,80,12,71.5,54.0,38.5,27,2015,2,17,18.32276207197091,80.0,12.324320170223071,27.33333333333333
Soybean,Peaty,5.5,9,80,11,49.5,45.0,38.5,22,2022,2,10,9.08097956478909,80.0,11.10758604242426,22.166666666666668
Rice,Sandy,6.75,15,80,8,65.0,48.0,33.0,43,2016,11,21,15.395887090693073,80.0,7.668045884079749,42.58333333333333
Soybean,Clay,6.25,25,75,10,54.0,50.0,44.0,43,2015,4,3,24.85916545775224,75.14083454224776,9.903442147167151,43.16666666666667
Sunflower,Clay,6.25,25,75,14,60.0,55.00000000000001,44.0,46,2014,9,21,24.854434560066764,75.14556543993324,13.809336821304695,46.375
Potato,Sandy,6.75,20,80,8,55.00000000000001,40.0,27.0,36,2021,10,6,20.46675955670247,79.53324044329753,8.30522617075456,35.58333333333333
Potato,Sandy,6.75,29,71,3,55.00000000000001,40.0,27.0,36,2017,5,12,29.38443172223853,70.61556827776147,3.001178438427111,35.58333333333333
Corn,Loamy,6.5,21,79,12,84.0,66.0,50.0,67,2018,4,23,21.492464299414205,78.50753570058579,11.922672790948567,66.66666666666667
Corn,Saline,8.0,14,80,3,78.0,60.50000000000001,45.0,15,2018,12,27,13.810086284766829,80.0,3.425914791338723,15.291666666666666
Potato,Sandy,6.75,28,72,10,55.00000000000001,40.0,27.0,36,2023,3,2,28.021888750092906,71.9781112499071,9.884610682579163,35.58333333333333
Barley,Loamy,6.5,21,79,11,70.0,60.0,50.0,60,2019,4,15,20.88839130947612,79.1116086905239,10.857870421638044,60.0
Tomato,Sandy,6.75,41,59,9,50.0,36.0,30.0,34,2023,7,6,40.61571743734657,59.38428256265343,8.770465703099335,33.83333333333333
Soybean,Clay,6.25,31,69,11,54.0,50.0,44.0,43,2019,6,3,30.966887241908616,69.03311275809139,10.754876873172112,43.16666666666667
Wheat,Loamy,6.5,21,79,9,77.0,60.0,45.0,61,2015,2,8,20.57923637468324,79.42076362531677,8.802297342108696,60.66666666666666
Sunflower,Sandy,6.75,11,80,5,50.0,44.0,33.0,37,2019,10,30,11.102803844293362,80.0,5.432856662030734,37.04166666666667
Sunflower,Clay,6.25,15,80,15,60.0,55.00000000000001,44.0,46,2020,11,1,14.986475229969535,80.0,14.85903388652672,46.375
Potato,Clay,6.25,10,80,11,66.0,50.0,36.0,44,2023,1,19,9.634271494615495,80.0,11.099185652783952,44.33333333333333
Wheat,Loamy,6.5,20,80,5,77.0,60.0,45.0,61,2020,1,5,20.265104602569785,79.73489539743022,4.707588732525486,60.66666666666666
Sunflower,Clay,6.25,12,80,11,60.0,55.00000000000001,44.0,46,2018,2,24,12.450880619315903,80.0,10.92842481770672,46.375
Sunflower,Peaty,5.5,36,64,13,55.0,49.50000000000001,38.5,24,2016,6,2,36.46874531989956,63.53125468010044,12.614843228622265,23.83333333333333
Potato,Saline,8.0,15,80,9,71.5,55.0,40.5,14,2019,1,9,14.745898975698095,80.0,8.95601026981831,13.916666666666666
Tomato,Saline,8.0,26,74,11,65.0,49.5,45.0,13,2016,11,19,25.551706393193747,74.44829360680626,11.412907487825224,13.291666666666666
Cotton,Loamy,6.5,24,76,14,77.0,66.0,60.0,68,2022,5,25,24.32790057603276,75.67209942396724,14.13518253020629,67.66666666666667
Potato,Sandy,6.75,9,80,11,55.00000000000001,40.0,27.0,36,2017,11,9,8.906786357646755,80.0,11.494232287353634,35.58333333333333
Potato,Peaty,5.5,21,79,11,60.50000000000001,45.0,31.5,23,2021,12,7,20.73862767977748,79.26137232022252,11.095960307576382,22.83333333333333
Tomato,Saline,8.0,34,66,10,65.0,49.5,45.0,13,2014,8,17,33.78294848716046,66.21705151283953,10.019651460477531,13.291666666666666
Wheat,Sandy,6.75,38,62,11,55.00000000000001,40.0,27.0,36,2014,6,30,38.08211052407367,61.91788947592633,11.275399740141165,35.58333333333333
Potato,Sandy,6.75,15,80,12,55.00000000000001,40.0,27.0,36,2022,12,31,15.14135674699588,80.0,12.08109112269258,35.58333333333333
Potato,Sandy,6.75,23,77,10,55.00000000000001,40.0,27.0,36,2020,12,15,23.04541518116275,76.95458481883725,9.837817759050848,35.58333333333333
Wheat,Saline,8.0,15,80,8,71.5,55.0,40.5,14,2017,10,23,14.929648931961443,80.0,8.131596662728866,13.916666666666666
Tomato,Loamy,6.5,21,79,15,70.0,54.0,50.0,58,2016,5,3,21.162316783232967,78.83768321676703,14.755566212645252,58.0
Tomato,Saline,8.0,25,75,7,65.0,49.5,45.0,13,2020,5,21,25.14401922776926,74.85598077223074,7.051016744480473,13.291666666666666
Corn,Clay,6.25,19,80,7,72.0,55.00000000000001,40.0,49,2020,9,9,18.679181152004627,80.0,6.9598224516059535,48.70833333333333
Sugarcane,Peaty,5.5,37,63,9,71.5,54.0,42.0,28,2014,6,5,37.43224841956323,62.56775158043677,9.192519489067267,27.916666666666668
Rice,Loamy,6.5,30,70,10,91.0,72.0,55.00000000000001,73,2017,6,9,29.64254600778551,70.35745399221449,9.572323937687583,72.66666666666667
Cotton,Clay,6.25,15,80,13,66.0,55.00000000000001,48.0,49,2021,9,5,14.71669823026434,80.0,13.317274760024196,49.29166666666667
Sugarcane,Sandy,6.75,17,80,15,65.0,48.0,36.0,43,2014,1,16,17.440220396893746,80.0,14.740402285225604,43.45833333333333
Potato,Loamy,6.5,12,80,13,77.0,60.0,45.0,61,2023,2,24,12.377003203363426,80.0,13.420310965865298,60.66666666666666
Cotton,Clay,6.25,25,75,10,66.0,55.00000000000001,48.0,49,2022,10,7,25.36090951870553,74.63909048129447,9.721185925567829,49.29166666666667
Corn,Clay,6.25,28,72,10,72.0,55.00000000000001,40.0,49,2023,6,10,27.764392389555763,72.23560761044423,9.831187401540248,48.70833333333333
Sugarcane,Saline,8.0,15,80,11,84.5,66.0,54.0,17,2021,4,9,14.84051328839242,80.0,11.396849623876903,17.041666666666668
Potato,Sandy,6.75,19,80,11,55.00000000000001,40.0,27.0,36,2015,4,6,19.142328373898856,80.0,11.409816640158578,35.58333333333333
Soybean,Peaty,5.5,17,80,12,49.5,45.0,38.5,22,2021,1,5,16.782042168574016,80.0,11.737590660638892,22.166666666666668
Cotton,Clay,6.25,17,80,4,66.0,55.00000000000001,48.0,49,2021,12,26,16.646798534836737,80.0,4.300375504938003,49.29166666666667
Wheat,Sandy,6.75,8,80,12,55.00000000000001,40.0,27.0,36,2017,12,3,7.932614284785045,80.0,12.133972534375468,35.58333333333333
Sunflower,Clay,6.25,24,76,12,60.0,55.00000000000001,44.0,46,2023,4,2,24.368384131905724,75.63161586809427,11.600419657941822,46.375
Sunflower,Peaty,5.5,12,80,13,55.0,49.50000000000001,38.5,24,2017,2,16,12.157172139104835,80.0,12.526282200873764,23.83333333333333
Rice,Loamy,6.5,19,80,4,91.0,72.0,55.00000000000001,73,2023,9,14,19.48429363199244,80.0,3.9231646346267146,72.66666666666667
Sunflower,Loamy,6.5,21,79,7,70.0,66.0,55.00000000000001,64,2016,5,10,21.271142957916627,78.72885704208338,7.338208742324122,63.66666666666666
Wheat,Saline,8.0,17,80,15,71.5,55.0,40.5,14,2016,10,11,16.936575088937094,80.0,15.459841047590384,13.916666666666666
Barley,Clay,6.25,15,80,11,60.0,50.0,40.0,44,2016,10,4,14.68871521173945,80.0,10.707574243229816,43.75
Cotton,Clay,6.25,27,73,7,66.0,55.00000000000001,48.0,49,2016,4,11,27.14895362883601,72.85104637116399,7.462503537741009,49.29166666666667
Sugarcane,Clay,6.25,28,72,8,78.0,60.0,48.0,54,2017,8,13,28.25572377751473,71.74427622248527,7.726726097278204,54.25
Sugarcane,Saline,8.0,15,80,8,84.5,66.0,54.0,17,2018,2,28,14.729667279324092,80.0,7.867248467144419,17.041666666666668
Corn,Loamy,6.5,24,76,16,84.0,66.0,50.0,67,2022,4,12,23.58909321706274,76.41090678293726,15.765992161203409,66.66666666666667
Potato,Saline,8.0,3,80,8,71.5,55.0,40.5,14,2016,12,11,2.7139971871719872,80.0,8.325601422896048,13.916666666666666
Wheat,Clay,6.25,14,80,9,66.0,50.0,36.0,44,2022,9,3,14.464624152084063,80.0,9.251071185442225,44.33333333333333
Soybean,Saline,8.0,40,60,14,58.5,55.0,49.50000000000001,14,2023,6,11,40.12170969093301,59.87829030906699,13.584153399397117,13.583333333333334
Corn,Saline,8.0,20,80,11,78.0,60.50000000000001,45.0,15,2016,4,26,20.18823834993672,79.81176165006329,11.470746002581464,15.291666666666666
Barley,Loamy,6.5,36,64,13,70.0,60.0,50.0,60,2016,7,28,36.25004379385883,63.74995620614117,12.605010682862169,60.0
Sunflower,Sandy,6.75,39,61,10,50.0,44.0,33.0,37,2016,8,25,39.06683744716486,60.93316255283514,10.394977782877572,37.04166666666667
Sugarcane,Saline,8.0,19,80,13,84.5,66.0,54.0,17,2020,1,2,19.35757757300503,80.0,13.069353347952347,17.041666666666668
Potato,Loamy,6.5,14,80,10,77.0,60.0,45.0,61,2021,12,21,14.1200872594886,80.0,9.883754467252553,60.66666666666666
Barley,Sandy,6.75,21,79,8,50.0,40.0,30.0,35,2021,5,30,21.06486193114229,78.93513806885771,7.856715635511801,35.0
Sunflower,Sandy,6.75,16,80,4,50.0,44.0,33.0,37,2023,1,11,15.932768009411504,80.0,4.051580720746401,37.04166666666667
Rice,Clay,6.25,25,75,7,78.0,60.0,44.0,53,2018,5,24,25.04980852283349,74.9501914771665,7.2596344146163805,53.08333333333333
Sugarcane,Loamy,6.5,18,80,8,91.0,72.0,60.0,74,2019,1,31,17.57567879892997,80.0,7.8878882646743715,74.33333333333333
Corn,Clay,6.25,24,76,9,72.0,55.00000000000001,40.0,49,2020,12,26,24.13441376329005,75.86558623670994,9.177306078745875,48.70833333333333
Barley,Loamy,6.5,26,74,10,70.0,60.0,50.0,60,2015,10,12,25.946956893064648,74.05304310693535,9.592278960051582,60.0
Wheat,Clay,6.25,28,72,11,66.0,50.0,36.0,44,2016,9,2,27.97095546169588,72.02904453830412,11.403620916838596,44.33333333333333
Rice,Sandy,6.75,37,63,7,65.0,48.0,33.0,43,2022,6,15,36.923267273837865,63.076732726162135,7.115057974847749,42.58333333333333
Soybean,Sandy,6.75,31,69,7,45.0,40.0,33.0,34,2022,9,18,30.75210541207492,69.24789458792509,6.891762717744245,34.41666666666667
Sugarcane,Saline,8.0,42,58,13,84.5,66.0,54.0,17,2023,6,10,42.23664429033604,57.76335570966396,13.309211966696845,17.041666666666668
Wheat,Clay,6.25,10,80,15,66.0,50.0,36.0,44,2022,5,18,9.703855118706244,80.0,14.74017318753245,44.33333333333333
Sunflower,Loamy,6.5,16,80,9,70.0,66.0,55.00000000000001,64,2014,9,18,15.890398337131238,80.0,8.702021459810224,63.66666666666666
Tomato,Saline,8.0,23,77,8,65.0,49.5,45.0,13,2014,2,23,23.14504801674634,76.85495198325366,8.003543755929353,13.291666666666666
Cotton,Clay,6.25,32,68,10,66.0,55.00000000000001,48.0,49,2021,4,18,31.86917309571108,68.13082690428892,10.155735367465708,49.29166666666667
Corn,Clay,6.25,21,79,12,72.0,55.00000000000001,40.0,49,2017,11,3,20.968696993188345,79.03130300681165,12.402557018458486,48.70833333333333
Tomato,Peaty,5.5,25,75,12,55.0,40.5,35.0,22,2020,4,30,25.06478192683978,74.93521807316023,11.71234594227223,21.75
Soybean,Saline,8.0,21,79,8,58.5,55.0,49.50000000000001,14,2021,9,30,21.02337285149927,78.97662714850073,7.9759178499282815,13.583333333333334
Corn,Saline,8.0,20,80,8,78.0,60.50000000000001,45.0,15,2021,11,29,19.65741868771608,80.0,8.057760254594614,15.291666666666666
Cotton,Loamy,6.5,41,59,10,77.0,66.0,60.0,68,2017,6,24,40.53629274965619,59.46370725034381,10.247749369923662,67.66666666666667
Wheat,Loamy,6.5,29,71,6,77.0,60.0,45.0,61,2015,9,5,28.98901981729208,71.01098018270793,6.076083183643194,60.66666666666666
Sugarcane,Saline,8.0,9,80,10,84.5,66.0,54.0,17,2015,1,12,9.246062613459284,80.0,9.868315249069584,17.041666666666668
Barley,Sandy,6.75,34,66,9,50.0,40.0,30.0,35,2016,5,13,33.71804813089526,66.28195186910474,9.232778015320912,35.0
Corn,Loamy,6.5,20,80,10,84.0,66.0,50.0,67,2022,1,31,19.81044944113539,80.0,9.61350942397721,66.66666666666667
Tomato,Peaty,5.5,24,76,9,55.0,40.5,35.0,22,2022,9,30,23.660516536544904,76.3394834634551,8.897755668695627,21.75
Sunflower,Sandy,6.75,19,80,7,50.0,44.0,33.0,37,2019,9,23,19.21145270346352,80.0,6.572854669399873,37.04166666666667
Potato,Loamy,6.5,30,70,8,77.0,60.0,45.0,61,2021,7,10,30.21594992761336,69.78405007238663,8.317526100030683,60.66666666666666
Cotton,Loamy,6.5,26,74,10,77.0,66.0,60.0,68,2022,4,24,26.256288091356865,73.74371190864314,9.895705936641814,67.66666666666667
Wheat,Loamy,6.5,18,80,11,77.0,60.0,45.0,61,2021,11,10,17.90903718596523,80.0,11.365992997939152,60.66666666666666
Rice,Clay,6.25,17,80,4,78.0,60.0,44.0,53,2014,12,4,17.274623640330162,80.0,4.367129049328546,53.08333333333333
